id,marriage,attend,denom,gender,ideology,orientation,friends,educ,region,race,age
249,2,1,2,2,1,1,1,12,4,1,65
250,3,4,1,1,4,1,1,17,4,1,35
251,2,4,2,1,0,1,1,17,4,1,67
252,2,3,7,2,3,1,5,13,4,1,33
253,2,2,1,2,4,1,5,17,4,1,42
254,2,5,2,1,1,1,1,14,4,1,34
255,1,4,2,1,5,1,1,14,4,1,56
256,3,5,7,2,6,1,1,14,4,1,34
257,1,4,2,1,2,1,1,12,4,1,23
258,3,5,2,2,3,1,1,13,4,1,50
259,2,3,7,1,0,1,5,12,4,1,31
260,2,1,7,1,4,1,1,14,4,1,20
261,3,1,1,1,4,1,1,12,4,1,67
262,1,5,2,2,2,1,5,16,4,1,35
263,1,4,2,2,1,1,1,14,4,1,28
264,2,1,2,2,3,1,5,11,4,4,28
265,3,5,1,1,4,1,1,15,4,1,60
266,3,5,2,1,5,1,1,11,4,1,54
267,2,4,2,2,1,1,5,12,4,1,62
268,1,1,2,2,1,1,1,12,4,4,48
269,1,3,1,2,2,1,1,11,4,1,53
270,3,3,7,1,2,1,5,16,4,2,53
271,1,4,2,1,2,1,5,12,4,4,40
272,3,5,1,2,3,1,5,0,4,4,61
273,1,3,2,2,1,1,1,10,4,4,51
274,1,5,2,2,1,1,1,14,4,4,39
275,1,5,7,2,1,3,1,11,4,4,24
276,3,5,1,1,0,1,5,12,4,4,44
277,1,3,1,1,1,1,1,9,4,4,58
278,3,4,2,2,3,1,1,17,4,4,56
279,1,5,7,2,1,1,1,12,4,4,42
280,1,2,1,1,6,1,1,12,4,1,49
281,1,1,2,2,2,1,5,11,4,1,84
282,3,1,2,2,4,1,1,16,4,1,56
283,2,4,7,1,3,1,1,15,4,1,45
284,1,3,7,1,2,1,5,14,4,1,58
285,1,4,3,1,2,1,1,16,4,1,45
286,2,1,1,2,2,1,1,17,4,1,24
287,1,3,1,2,0,1,1,17,4,1,39
288,1,3,2,2,0,1,1,12,4,4,22
289,1,4,2,2,2,1,5,12,4,4,23
290,3,1,2,1,2,1,5,12,4,4,44
291,3,1,1,2,6,1,1,15,4,1,29
292,2,4,1,2,2,1,5,14,4,1,58
293,3,3,2,1,6,1,5,14,4,1,21
294,2,5,1,2,6,1,1,14,4,1,61
295,1,4,2,1,4,1,1,15,4,1,22
296,2,5,1,1,6,1,1,12,4,1,68
297,2,5,1,2,1,1,5,16,4,1,25
298,2,4,1,2,5,1,5,13,4,1,53
299,3,1,7,1,1,1,1,15,4,1,57
300,3,4,7,1,2,1,5,13,4,1,26
301,3,1,2,1,5,1,5,16,4,1,30
302,1,4,1,2,0,1,5,17,4,1,68
303,3,1,7,1,6,1,1,12,4,1,22
304,3,2,7,2,0,1,5,12,4,1,40
305,1,2,1,2,2,1,5,12,4,1,81
306,3,3,2,2,1,1,1,12,4,4,37
307,1,5,7,2,3,1,1,16,4,1,39
308,1,4,2,1,3,1,5,11,4,4,22
309,1,1,2,2,1,5,1,12,4,1,25
310,1,5,2,2,5,1,1,16,4,1,52
311,1,1,1,2,0,1,1,15,4,1,57
312,2,5,2,2,2,1,1,12,4,1,51
313,1,2,1,2,0,1,1,13,4,1,19
314,2,3,1,1,1,1,5,11,1,4,18
315,3,2,2,2,0,1,5,15,1,2,33
316,1,5,3,2,2,1,1,16,1,1,33
317,1,4,3,2,1,1,1,16,1,1,48
318,2,1,2,2,0,1,5,16,1,5,74
319,1,4,2,2,0,1,1,5,1,1,59
320,2,3,7,2,4,1,5,12,1,2,21
321,1,4,7,1,4,1,1,17,1,2,33
322,1,5,7,1,2,1,5,11,1,4,18
323,3,1,1,2,1,1,5,14,1,2,49
324,3,1,7,2,0,1,5,10,1,2,77
325,1,2,7,1,0,1,1,12,1,4,18
326,1,3,7,1,1,1,5,9,1,6,53
327,1,1,2,2,0,1,1,12,1,1,72
328,3,5,1,1,1,1,5,10,1,2,67
329,1,4,7,2,0,1,1,14,1,2,41
330,1,4,7,1,2,1,5,14,1,2,33
331,3,1,1,2,2,1,1,13,1,4,23
332,3,4,7,1,2,1,5,14,1,2,29
333,1,4,7,2,3,1,5,12,1,2,37
334,3,1,7,2,1,1,1,12,3,2,53
335,3,2,1,1,0,1,1,12,3,4,57
336,3,1,2,2,3,1,1,12,3,2,51
337,3,5,1,1,4,1,5,9,3,2,63
338,2,1,7,2,0,1,1,12,3,2,31
339,3,2,2,1,0,1,5,12,3,2,34
340,3,2,7,2,1,1,1,12,3,2,52
341,2,5,7,1,1,1,1,12,3,2,67
342,3,3,2,2,0,1,5,12,3,2,76
343,1,5,7,2,0,1,1,16,3,2,48
344,1,3,7,2,2,1,1,16,3,2,67
345,2,1,7,1,0,1,5,15,3,4,55
346,3,2,7,2,0,1,1,12,3,2,49
347,3,1,7,2,3,1,5,10,3,2,74
348,3,2,1,2,3,1,5,11,3,2,63
349,3,3,7,2,0,1,5,11,3,2,61
350,3,3,7,2,2,1,1,11,3,2,30
351,3,4,1,1,1,1,5,15,3,2,62
352,3,4,7,2,1,1,1,13,3,2,50
353,3,3,1,2,0,1,1,12,3,2,39
354,3,4,7,1,0,1,5,9,3,1,78
