id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
229,Graduate (original),3,0,1.2539999,0,0,1,0,0,1,24,0,0,100,0,0,0
230,Graduate (original),0,0,0,0,0,1,0,1,1,29,8,0,100,0,0,0
231,Graduate (original),0,0.22499999,7.4169998,0,0,1,0,0,0,24,0,0,100,1,0,0
232,Graduate (original),4.0689998,1.533,0,0,0,0,0,0,0,20,0,0,100,1,0,0
233,Graduate (transfer),2.4316001,0,0,0,0,0,0,1,1,21,0,0,100,0,0,0
234,Graduate (original),0,0.79699999,5.8839998,0,0,1,0,0,1,22,0,0,100,0,0,0
235,Graduate (original),0,0,0,0,0,1,0,1,1,26,4,0,100,0,0,0
236,Graduate (original),0,0,0,0,0,1,0,1,1,24,17,0,100,0,1,0
237,Graduate (original),3.3180001,2.125,3.224,0,0,1,0,1,1,23,0,0,100,0,0,0
238,Graduate (transfer),0,1,4.257,0,0,1,0,1,1,23,0,0,100,0,0,0
239,Graduate (original),0,0.875,3.2650001,0,0,0,0,0,0,21,0,0,100,1,0,0
240,Graduate (original),0,2.3010001,2.553,0,0,1,0,0,1,27,0,0,100,1,0,0
241,Graduate (transfer),2.2468591,0,0,0,0,1,0,1,1,25,0,0,26.66667,2,1,0
242,Graduate (original),1.864,5.289,0,0,0,1,0,0,1,27,15,0,100,0,0,0
243,Graduate (original),0,1.932,1.7589999,0,0,0,0,0,1,22,0,0,100,0,0,0
244,Graduate (original),1.914149,0,0,0,0,1,0,0,1,25,0,0,100,0,0,0
245,Graduate (original),0.34900001,1.005,3.0550001,0,0,0,0,0,1,17,0,0,100,2,0,0
246,Non-Graduate,1.7048,0,0,0,0,1,0,0,0,24,12,0,100,1,2,0
247,Graduate (original),1.823,0,0,0,0,1,0,0,1,23,0,0,100,2,0,0
248,Graduate (original),0,0,3.7320001,0,0,0,0,0,0,23,0,0,78.571426,0,0,1
249,Graduate (original),2.08237,0,0,0,0,1,0,0,1,26,10,0,100,0,0,0
250,Graduate (original),2.38008,0,0,0,0,1,0,0,1,29,23,0,100,0,0,0
251,Non-Graduate,0,0,7.0619998,0,0,1,0,1,0,22,0,0,81.25,1,2,0
252,Non-Graduate,4.1524892,0,0,0,0,0,0,0,1,25,0,0,0,0,0,1
253,Non-Graduate,0.48100001,5.1570001,1.122,0,0,0,0,0,1,16,0,1,21.42857,1,0,0
254,Graduate (original),0,0.5,0,1.5,0,1,0,0,1,28,0,0,100,0,0,0
255,Graduate (original),1.761084,0,0,0,0,1,0,1,1,31,16,0,100,0,0,0
256,Non-Graduate,0,3.95,1.7640001,0,0,1,0,1,1,13,0,0,20,1,0,1
257,Graduate (original),5.842,2.7420001,1.294,0,0,0,0,0,0,19,0,0,80,0,3,0
258,Graduate (original),0,3.902,2.401,0,0,1,0,0,1,26,0,0,100,0,0,0
259,Graduate (original),0,0,1.294,0,0,1,0,0,1,28,0,0,100,0,0,0
260,Graduate (original),1.317454,0,0,0,0,1,0,1,1,23,4,0,100,1,1,0
261,Graduate (transfer),1.633,4.6609998,0,0,0,0,0,0,1,17,0,0,100,0,0,0
262,Non-Graduate,3.994,1.65,4.6230001,0,0,1,0,1,0,25,12,0,100,0,0,0
263,Graduate (original),1.53985,0,0,0,0,1,0,0,1,25,0,0,100,1,0,0
264,Graduate (original),1.692431,0,0,0,0,1,0,1,1,25,4,0,80,1,0,0
265,Non-Graduate,0,0,7.6370001,0,0,1,0,0,1,27,0,0,100,1,1,0
266,Non-Graduate,0,0,6.3429999,0,0,1,0,0,1,27,18,0,100,1,0,0
267,Graduate (original),0,0,0,0,0,0,0,0,1,26,0,0,100,0,0,0
268,Graduate (original),0,0.97500002,0,0.5,0,1,0,1,1,32,33,0,100,0,0,0
269,Non-Graduate,0,2.5,0,0,0,1,0,0,1,26,0,0,100,1,0,0
270,Graduate (original),7.6360002,0,0,1.5,0,1,0,0,1,33,6,0,100,0,0,0
271,Graduate (original),1.517531,0,0,0,0,1,0,1,0,24,0,0,100,1,0,0
272,Graduate (original),0,2.75,2.1989999,1.5,0,1,0,0,1,28,7,0,100,1,0,0
273,Graduate (original),1.593925,0,0,0,0,1,0,1,1,25,4,0,100,0,0,0
274,Graduate (transfer),4.2179999,0,0,0,0,1,0,0,1,26,4,0,100,0,0,0
275,Graduate (original),3.188,0.050000001,0,0,0,1,0,1,1,28,0,0,100,0,0,0
276,Graduate (original),0,4.8330002,1.344,0,0,1,0,0,1,30,6,0,100,2,0,0
277,Graduate (original),0,0,4.388,0,0,1,0,0,0,21,0,1,100,0,0,0
278,Graduate (original),0,3.55,2.75,0,0,1,0,1,1,26,0,0,100,0,0,0
279,Non-Graduate,2.07058,0,0,0,0,1,0,0,0,29,0,1,50,0,1,0
280,Non-Graduate,0,1.156,4.3600001,0,1,0,0,0,1,26,0,0,100,0,0,0
281,Graduate (original),1.472064,0,0,0,0,1,0,1,0,24,0,0,100,0,0,0
282,Graduate (original),3.1363189,0,0,0,0,1,1,0,1,26,4,0,100,0,0,0
283,Non-Graduate,1.3120281,0,0,0,0,1,0,0,1,26,4,0,100,3,0,0
284,Graduate (original),1.6402889,0,0,0,0,1,0,1,1,26,0,0,100,0,0,0
285,Graduate (original),0,4.2360001,1.294,0,0,1,0,0,1,28,0,0,100,0,0,0
286,Graduate (original),2.3047941,0,0,0,0,0,0,0,1,22,0,0,75,1,1,1
